fec_id,state,district,incumbent,candidate_name,party,primary_votes,runoff_votes,general_votes,ge_winner
H0VI00045,VI,00,FALSE,"Mimoun, Guillaume",I,0,0,312,N
H0WA02080,WA,02,TRUE,"Larsen, Rick",D,79632,0,184826,W
H0WA02098,WA,01 - UNEXPIRED TERM,FALSE,"Koster, John",R,123816,0,292778,N
H0WA02148,WA,02,FALSE,"Johnson, Glen S.",N,2289,0,0,N
H0WA03161,WA,10,FALSE,"Heck, Denny",D,51047,0,163036,W
H0WA03187,WA,03,TRUE,"Beutler, Jaime Herrera",R,68603,0,177446,W
H0WA03229,WA,03,FALSE,"Stevens, Norma Jean",N,7108,0,0,N
H0WA06065,WA,06,FALSE,"Young, Jesse",R,18075,0,0,N
H0WA07113,WA,07,FALSE,"Sutherland, Scott",G,5573,0,0,N
H0WA08046,WA,01 - UNEXPIRED TERM,FALSE,"DelBene, Suzan",D,73290,0,393169,W
